posicion_id,tema_id,posicion_num,nombre,nombre_corto,resumen,n_cuentas,n_msgs,n_palabras_tema,top_words,top_subclusters,plataformas,mono_tema_share,top5_cuentas_share,hhi_cuentas,max_hour_share,duplicate_share,top_url_share,ibea_score,ibea_nivel,postura_actor,postura_actor_etiqueta,postura_actor_score,postura_actor_apoyo,postura_actor_critica,postura_actor_evidencia,postura_actor_referencias,postura_actor_mensajes
T00_P1,0,1,"Familia, cuidados y vida comunitaria",Familia Cuidados Vida,"Familia, cuidados y vida comunitaria. Grupo de 17 cuentas dentro de México y asuntos nacionales · nina; usa principalmente hijo, nino, investigar, cosa, cualquiera, pais. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",17,22,72,"hijo, nino, investigar, cosa, cualquiera, pais, empezar, nina, control, muerto, mujer","S1:50, S-1:13, S4:5, S3:3, S2:1","{""YouTube"": 17}",0.0,0.4306,0.0733,0.0909,0.0,0.0,27.5,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T11_P1,11,1,"Perspectiva sobre identidad local, cultura y entretenimiento · economico, con énfasis en ano",Ano Escenario Impulsar,"Perspectiva sobre identidad local, cultura y entretenimiento · economico, con énfasis en ano. Grupo de 5 cuentas dentro de Identidad local, cultura y entretenimiento · economico; usa principalmente ano, escenario, impulsar, oportunidad, ofrecer, importante. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",5,7,29,"ano, escenario, impulsar, oportunidad, ofrecer, importante, pequeno, consecuencia, economico, entender","S4:12, S2:6, S3:5, S0:4, S1:2","{""YouTube"": 3, ""Instagram"": 2}",0.0,1.0,0.3555,0.5714,0.0,0.0,42.0,medio,apoyo_defensa,Apoyo/defensa,1.0,4.0,0.0,4.0,14,3
T12_P1,12,1,"Perspectiva sobre ciudad, dafne, antonio, con énfasis en militarizado",Militarizado Ciudad Dafne,"Perspectiva sobre ciudad, dafne, antonio, con énfasis en militarizado. Grupo de 3 cuentas dentro de Ciudad, dafne, antonio; usa principalmente militarizado, ciudad, dafne, fallecimiento, luis. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",3,3,12,"militarizado, ciudad, dafne, fallecimiento, luis","S0:8, S2:2, S-1:1, S3:1","{""YouTube"": 2, ""Instagram"": 1}",0.0,1.0,0.3333,0.3333,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T13_P1,13,1,Respaldo y defensa de la gestión,Respaldo Defensa Gestión,"Respaldo y defensa de la gestión. Grupo de 6 cuentas dentro de Agua, territorio y medio ambiente · pendiente; usa principalmente deber, hombre, problema, cercano, ejercito, agua. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",6,9,30,"deber, hombre, problema, cercano, ejercito, agua, escuchar, apoyar, jorge, gobierno, ley, obra, responder, utilizar","S1:13, S0:7, S2:7, S3:3","{""YouTube"": 5, ""Twitter"": 1}",0.0,0.9,0.2044,0.2222,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T14_P1,14,1,"Obras, vivienda y desarrollo urbano",Obras Vivienda Desarrollo,"Obras, vivienda y desarrollo urbano. Grupo de 1 cuentas dentro de México y asuntos nacionales · grupo; usa principalmente comunidad, construir, proyecto. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",1,1,3,"comunidad, construir, proyecto","S1:2, S0:1","{""Instagram"": 1}",0.0,1.0,1.0,1.0,0.0,0.0,42.0,medio,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,2,1
T15_P1,15,1,"Familia, cuidados y vida comunitaria",Familia Cuidados Vida,"Familia, cuidados y vida comunitaria. Grupo de 9 cuentas dentro de Seguridad, violencia y justicia · caso; usa principalmente caso, joven, abuso, familia, existir, declarar. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",9,13,33,"caso, joven, abuso, familia, existir, declarar, mes, ocurrir","S-1:18, S0:11, S3:3, S1:1","{""YouTube"": 9}",0.0,0.6364,0.1203,0.1538,0.0,0.0,37.9,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T16_P1,16,1,"Perspectiva sobre gestión municipal y servicios públicos · prevencion, con énfasis en villarreal",Villarreal Monica Prevencion,"Perspectiva sobre gestión municipal y servicios públicos · prevencion, con énfasis en villarreal. Grupo de 8 cuentas dentro de Gestión municipal y servicios públicos · prevencion; usa principalmente villarreal, monica, prevencion, jornada, oferta, saludable. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",8,15,52,"villarreal, monica, prevencion, jornada, oferta, saludable, fortalecer, bienestar, extraordinario, programa","S0:34, S2:9, S1:8, S-1:1","{""Twitter"": 4, ""Instagram"": 2, ""TikTok"": 2}",0.0,0.7885,0.1649,0.2,0.0667,0.25,59.7,medio,apoyo_defensa,Apoyo/defensa,1.0,5.0,0.0,5.0,45,4
T17_P1,17,1,Respaldo y defensa de la gestión,Respaldo Defensa Gestión,"Respaldo y defensa de la gestión. Grupo de 10 cuentas dentro de Gestión municipal y servicios públicos · investigacion; usa principalmente padre, persona, excelente, alcaldesa, atender, autoridad. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",10,14,33,"padre, persona, excelente, alcaldesa, atender, autoridad, colonia, diverso, criminal, investigacion, perder","S2:17, S4:7, S-1:5, S0:3, S3:1","{""YouTube"": 8, ""Facebook"": 1, ""TikTok"": 1}",0.0,0.5455,0.1019,0.2143,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,6,0
T18_P1,18,1,"Perspectiva sobre apoyo y aprobación pública · situacion, con énfasis en seguir",Seguir Afiliado Calidad,"Perspectiva sobre apoyo y aprobación pública · situacion, con énfasis en seguir. Grupo de 1 cuentas dentro de Apoyo y aprobación pública · situacion; usa principalmente seguir, afiliado, calidad, publica. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",1,2,5,"seguir, afiliado, calidad, publica","S1:3, S2:2","{""Twitter"": 1}",0.0,1.0,1.0,0.5,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T20_P1,20,1,"Perspectiva sobre bienestar, salud y educación · metro, con énfasis en escuela",Escuela Alumno Maestro,"Perspectiva sobre bienestar, salud y educación · metro, con énfasis en escuela. Grupo de 18 cuentas dentro de Bienestar, salud y educación · metro; usa principalmente escuela, alumno, maestro, verano, metro, presidenta. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",18,24,86,"escuela, alumno, maestro, verano, metro, presidenta, ninos, disciplina, iniciar, estatal, fuerza","S0:48, S-1:22, S1:13, S2:3","{""YouTube"": 16, ""Instagram"": 2}",0.0,0.5116,0.1106,0.125,0.0,0.0,33.4,bajo,apoyo_defensa,Apoyo/defensa,1.0,3.0,0.0,3.0,11,2
T21_P1,21,1,Respaldo y defensa de la gestión,Respaldo Defensa Gestión,"Respaldo y defensa de la gestión. Grupo de 5 cuentas dentro de Escolar, realidad, convertir; usa principalmente escolar, vacacion, secretaria, compromiso, direccion, plantel. Senal indiciaria alto; requiere lectura cualitativa antes de concluir coordinacion.",5,8,28,"escolar, vacacion, secretaria, compromiso, direccion, plantel, exito, sector, proteger","S2:9, S1:7, S0:6, S3:6","{""Instagram"": 2, ""YouTube"": 2, ""Facebook"": 1}",0.0,1.0,0.2602,0.25,0.25,0.0,66.0,alto,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0,6,2
T22_P1,22,1,"Perspectiva sobre comunidad, familia y vida cotidiana · nivel, con énfasis en vida",Vida Encontrar Nivel,"Perspectiva sobre comunidad, familia y vida cotidiana · nivel, con énfasis en vida. Grupo de 2 cuentas dentro de Comunidad, familia y vida cotidiana · nivel; usa principalmente vida, encontrar, nivel, similar. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",2,2,6,"vida, encontrar, nivel, similar","S0:4, S1:2","{""YouTube"": 2}",0.0,1.0,0.5,0.5,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T23_P1,23,1,Actividades culturales y eventos públicos,Actividades Culturales Eventos,"Actividades culturales y eventos públicos. Grupo de 5 cuentas dentro de Comunidad, familia y vida cotidiana · exposicion; usa principalmente exposicion, cultural, turistico, gratuito, metropolitano, entrada. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",5,9,53,"exposicion, cultural, turistico, gratuito, metropolitano, entrada, dia, descubrir, llegar, compartir, disfrutar, jardin, especial, forma, profundo","S1:17, S3:10, S0:10, S-1:8, S4:8","{""Facebook"": 2, ""Twitter"": 2, ""Instagram"": 1}",0.0,1.0,0.3499,0.2222,0.0,0.3333,57.0,medio,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0,13,1
T24_P1,24,1,"Perspectiva sobre seguridad, violencia y justicia · academia, con énfasis en academia",Academia Muerte Madero,"Perspectiva sobre seguridad, violencia y justicia · academia, con énfasis en academia. Grupo de 6 cuentas dentro de Seguridad, violencia y justicia · academia; usa principalmente academia, muerte, madero, director, doenitz, militarizada. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",6,36,237,"academia, muerte, madero, director, doenitz, militarizada, seguridad, amenazar, temer, septiembre, dano, nombre, revelar, sexo, fecha, marzo, informe, denunciar, cobrar, administracion","S0:96, S1:73, S2:56, S3:12","{""YouTube"": 4, ""Instagram"": 1, ""Medios"": 1}",0.0,0.9873,0.8474,0.0833,0.0,0.0,27.0,bajo,critica_oposicion,Crítica/oposición,-0.3333,1.0,2.0,3.0,14,3
T25_P1,25,1,"Perspectiva sobre opiniones generales y contenido compartido, con énfasis en casa",Casa Mandar Salir,"Perspectiva sobre opiniones generales y contenido compartido, con énfasis en casa. Grupo de 8 cuentas dentro de Opiniones generales y contenido compartido; usa principalmente casa, mandar, salir, quedar, fuerte, responsabilidad. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",8,8,30,"casa, mandar, salir, quedar, fuerte, responsabilidad","S0:20, S2:7, S3:3","{""YouTube"": 8}",0.0,0.7,0.1311,0.125,0.0,0.0,33.4,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
